district_code,district
106,bhojpur
101,taplejung
103,solukhumbu
104,okhaldhunga
105,khotang
114,udayapur
201,saptari
202,siraha
203,dhanusa
204,mahottari
205,sarlahi
311,sindhuli
109,panchthar
310,ramechhap
301,dolakha
302,sindhupalchok
309,kavrepalanchok
308,lalitpur
307,bhaktapur
306,kathmandu
305,nuwakot
303,rasuwa
304,dhading
110,ilam
312,makwanpur
206,rautahat
207,bara
208,parsa
313,chitawan
102,sankhuwasabha
401,gorkha 
406,lamjung
407,tanahu
409,syangja
405,kaski
111,jhapa
402,manang
403,mustang
404,myagdi
410,parbat
411,baglung
504,gulmi
506,palpa
408,nawalparasi east
507,nawalparasi west
508,rupandehi
509,kapilvastu
112,morang
505,arghakhanchi
503,pyuthan
502,rolpa
608,rukum west
501,rukum east
609,salyan
510,dang
511,banke
512,bardiya
610,surkhet
606,dailekh
113,sunsari
607,jajarkot
601,dolpa
604,jumla 
605,kalikot
602,mugu
603,humla
701,bajura
702,bajhang
707,achham
706,doti
107,dhankuta
708,kailali
709,kanchanpur
705,dadeldhura
704,baitadi
703,darchula
108,terhathum
